15
Bitcoin 62000 Bybit 390000000 28-02-2024        
Ethereum 3400 Htx 230000000 01-03-2024  
Solana 130 Bybit 198000000 08-02-2024 
Wld 8 Htx 2400000 13-02-2024
Matic 1 Bybit 79000000 09-02-2024
Doge 13 Bybit 12000000 01-03-2024  
Pepe 3 Binance 3400000 23-02-2024 
Dydx 4 Htx 4300000 01-03-2024  
Arb 2 Bybit 7500000 01-03-2024      
Crv 62 Bybit 11000000 09-02-2024   
Ltc 84 Binance 86000000 28-02-2024      
BnB 400 Bybit 32200000 13-02-2024   
Xrp 6 Binance 97000000 08-02-2024 
Ens 21 Okx 21000000 09-02-2024
Eos 88 Okx 3200000 23-02-2024 
